"keys","pt","en"
"Frota","Frota","Fleet"
"Cidades","Cidades","Cities"
"Talentos","Talentos","Talents"
"Legado","Legado","Legacy"
"Loja","Loja","Shop"
"Missões","Missões","Missions"
"Comprar Drones","Comprar Drones","Buy Drones"
"Tens %d drones","Tens %d drones","You have %d drones"
"Abrir Cidade","Abrir Cidade","Open City"
"Expandir país","Expandir país","Expand Country"
"Rede de cidades","Rede de cidades","City Network"
"Loja de Prestige","Loja de Prestige","Prestige Shop"
"Conquistas","Conquistas","Achievements"
"Obtido","Obtido","Owned"
"Abrir","Abrir","Open"
"Compras com dinheiro real","Compras com dinheiro real","Real Money Purchases"
"Desafio Semanal","Desafio Semanal","Weekly Challenge"
"Trocar","Trocar","Swap"
"Definições","Definições","Settings"
"Som activado","Som activado","Sound On"
"Vibração","Vibração","Vibration"
"Reduzir animações","Reduzir animações","Reduce Animations"
"Restaurar compras","Restaurar compras","Restore Purchases"
"A verificar compras...","A verificar compras...","Checking purchases..."
"Repor progresso","Repor progresso","Reset Progress"
"Fechar","Fechar","Close"
"Confirmar Prestige","Confirmar Prestige","Confirm Prestige"
"SIM, FAZER PRESTIGE","SIM, FAZER PRESTIGE","YES, PRESTIGE NOW"
"Cancelar","Cancelar","Cancel"
"SIM, APAGAR TUDO","SIM, APAGAR TUDO","YES, DELETE EVERYTHING"
"Repor progresso?","Repor progresso?","Reset progress?"
"Bem-vindo de volta!","Bem-vindo de volta!","Welcome back!"
"Recolher","Recolher","Collect"
"Recolher em DOBRO (anúncio)","Recolher em DOBRO (anúncio)","Collect DOUBLE (ad)"
"Completa missões para ganhar créditos e gemas bónus.","Completa missões para ganhar créditos e gemas bónus.","Complete missions to earn bonus credits and gems."
"REIVINDICAR","REIVINDICAR","CLAIM"
"Recebido","Recebido","Received"
"Em curso","Em curso","In progress"
"TODAS","TODAS","ALL"
"Todas as cidades estão abertas.","Todas as cidades estão abertas.","All cities are open."
"FIM","FIM","END"
"Chegaste ao último país. Parabéns!","Chegaste ao último país. Parabéns!","You've reached the last country. Congrats!"
"Bloqueado","Bloqueado","Locked"
"Prestige (requer 5.º país)","Prestige (requer 5.º país)","Prestige (requires 5th country)"
"Cidade desbloqueada!","Cidade desbloqueada!","City unlocked!"
